Parameter,Median,CI,pd,Rhat,ESS
Intercept,-0.181,"[-1.582, 1.292]",0.589,1.000,3605
Baseline self-efficacy and sense of belonging in school,0.017,"[-0.100, 0.138]",0.588,1.000,5508
Baseline GPA,0.182,"[-0.154, 0.555]",0.800,1.000,2835
Treatment (Affirmed vs. Control),0.038,"[-0.196, 0.278]",0.603,1.000,4979
,,,,,
Grade 7 (vs. Grade 6),-0.007,"[-0.394, 0.376]",0.511,1.000,2849
Grade 8 (vs. Grade 6),-0.035,"[-0.487, 0.372]",0.550,1.000,2343
Grade 9 (vs. Grade 6),0.083,"[-0.364, 0.516]",0.616,1.000,2483
Grade 10 (vs. Grade 6),-0.008,"[-0.459, 0.461]",0.509,1.000,2345
Gender (Male vs. Female),-0.217,"[-0.454, 0.020]",0.935,1.000,5786
Age,0,"[-0.069, 0.065]",0.502,1.000,3435
Disability Status (Hearing vs. Deaf),-0.428,"[-1.024, 0.067]",0.894,1.000,4950
Father Education (Basic education (Class 1 to 8) vs. Bachelor and above),-0.095,"[-0.621, 0.421]",0.614,1.000,2053
Father Education (Do not go to school vs. Bachelor and above),0.025,"[-0.634, 0.597]",0.523,1.000,2351
Father Education (Non-response vs. Bachelor and above),-0.013,"[-0.577, 0.542]",0.515,1.000,2236
Father Education (Secondary education (Class 9 to 12) vs. Bachelor and above),0.16,"[-0.347, 0.637]",0.691,0.999,2185
Father Education (Some college education vs. Bachelor and above),-0.442,"[-1.417, 0.569]",0.770,0.999,5345
Mother Education (Do not go to school vs. Bachelor and above),0.066,"[-0.245, 0.387]",0.638,1.000,4599
Mother Education (Non-response vs. Bachelor and above),-0.005,"[-0.357, 0.359]",0.507,1.000,4599
Mother Education (Secondary education (Class 9 to 12) vs. Bachelor and above),0.254,"[-0.030, 0.555]",0.915,1.000,5479
Mother Education (Some college education vs. Bachelor and above),0.242,"[-1.015, 1.372]",0.620,0.999,5987
Father Occupation (Non-salary job vs. No job),-0.168,"[-0.437, 0.113]",0.835,0.999,5266
Father Occupation (Salary job vs. No job),-0.137,"[-0.422, 0.140]",0.785,0.999,4770
Mother Occupation (Non-salary job vs. No job),0.105,"[-0.174, 0.375]",0.733,1.000,5953
Mother Occupation (Salary job vs. No job),0.166,"[-0.157, 0.513]",0.774,0.999,6403
Number of Adult Members in Household,0.056,"[-0.019, 0.133]",0.867,0.999,4560
Number of Siblings,-0.056,"[-0.151, 0.035]",0.833,1.000,4447
,,,,,
Kathmandu School (vs. Baglung School),-0.246,"[-0.704, 0.178]",0.809,1.000,2562
Pokhara School (vs. Baglung School),-0.248,"[-0.684, 0.171]",0.821,0.999,2586
,,,,,
SD_Class_Intercept,0.098,"[0.000, 0.244]",1.000,1.001,2169
SD_Class_Treatment,0.152,"[0.000, 0.368]",1.000,1.000,1965
Cor_Class_Intercept_Treatment,-0.282,"[-1.000, 0.634]",0.646,1.002,2610
Residual SD,0.976,"[0.902, 1.058]",1.000,0.999,5478
